RSBSA REFERENCE NUMBER,FIRSTNAME,MIDDLENAME,LASTNAME,EXTENSIONNAME,IDNUMBER,GOVTIDTYPE,STREETNO_PUROKNO,BARANGAY,CITYMUNICIPALITY,DISTRICT,PROVINCE,REGION,BIRTHDATE(YYYY-MM-DD),PLACEOFBIRTH,MOBILENO,SEX,NATIONALITY,PROFESSION,SOURCEOFFUNDS,MOTHERMAIDENNAME,# OF FARM PARCEL,TOTAL FARM AREA (Ha)
88-18-9862-50001,Mary,Deogracias,Lindayag,,CD120001,License,Street Name1,Barangay Name1,Dasmarinas City,District 1,Cavite,Region 1,10/28/1996,San Juan Ilocos Sur,9271297371,F,FILIPINO,FARMER,FARMING,Dev Joels,5,2
88-18-9862-50002,Juan,Cruz,Tan,Jr,CD120002,License,Street Name2,Barangay Name2,Tagaytay City,District 2,Cavite,Region 2,10/15/1992,San Juan Ilocos Sur,9271292860,M,FILIPINO,FARMER,FARMING,Mark Lofot,2,12
88-18-9862-50003,Liza,Reyes,Sy,,CD120003,License,Street Name3,Barangay Name3,Dasmarinas City,District 3,Cavite,Region 3,12/15/1998,San Juan Ilocos Sur,9271271190,F,FILIPINO,FARMER,FARMING,Luke James,3,14
88-18-9862-50004,Angelo,Dela Cruz,Chan,,CD120004,License,Street Name4,Barangay Name4,Tagaytay City,District 4,Cavite,Region 4,10/20/1966,San Juan Ilocos Sur,9271229817,M,FILIPINO,FARMER,FARMING,Maria Tan,4,19
88-18-9862-50005,Marjorie,Uy,Cruz,,CD120005,License,Street Name5,Barangay Name5,Dasmarinas City,District 5,Cavite,Region 5,12/24/1970,San Juan Ilocos Sur,9271246674,F,FILIPINO,FARMER,FARMING,Maria Sy,5,16
88-18-9862-50006,Vicente,Basa,Ting JR,III,CD120006,License,Street Name6,Barangay Name6,Alaminos,District 6,Pangasinan,Region 6,12/13/1962,San Juan Ilocos Sur,9271223830,M,FILIPINO,FARMER,FARMING,Maria Chan,1,
88-18-9862-50007,Susana,Matibag,Ipol,,CD120007,License,Street Name7,Barangay Name7,Angeles City,District 7,Pampanga,Region 7,12/30/1982,San Juan Ilocos Sur,9271297073,F,FILIPINO,FARMER,FARMING,Maria Cruz,3,
88-18-9862-50008,Rossetta,Soriano,Flores,,CD120008,License,Street Name8,Barangay Name8,Antipolo,District 8,Nueva Vizcaya,Region 8,12/28/1973,San Juan Ilocos Sur,9271222834,M,FILIPINO,FARMER,FARMING,Maria Ting JR,,
88-18-9862-50009,Rodolfo,Aldave,Oliva,,CD120009,License,Street Name9,Barangay Name9,Bacolod,District 9,Negros Occidental,Region 9,10/24/1975,San Juan Ilocos Sur,9271268692,F,FILIPINO,FARMER,FARMING,Maria Ipol,,
88-18-9862-50010,Raulito,Monciller,Espiritu,,CD120010,License,Street Name10,Barangay Name10,Bacoor,District 10,Cavite,Region 10,12/17/1988,San Juan Ilocos Sur,9271222609,M,FILIPINO,FARMER,FARMING,Maria Flores,,
88-18-9862-50011,Nenita,Pagtakhan,Reyes,,CD120011,License,Street Name11,Barangay Name11,Bago,District 11,Negros Occidental,Region 11,12/14/1981,San Juan Ilocos Sur,9271230697,F,FILIPINO,FARMER,FARMING,Maria Oliva,,
88-18-9862-50012,Minda,Dela Cruz,Pajares,,CD120012,License,Street Name12,Barangay Name12,Baguio,District 12,Benguet,Region 12,10/24/1962,San Juan Ilocos Sur,9271298785,M,FILIPINO,FARMER,FARMING,Maria Espiritu,,
88-18-9862-50013,Merlita,Uy,Pagtakhan,,CD120013,License,Street Name13,Barangay Name13,Bais,District 13,Negros Oriental,Region 13,12/29/1994,San Juan Ilocos Sur,9271297486,F,FILIPINO,FARMER,FARMING,Maria Reyes,,
88-18-9862-50014,Maurecia,Soriano,Cabuguas,,CD120014,License,Street Name14,Barangay Name14,Balanga,District 14,Bataan,Region 14,11/18/1973,San Juan Ilocos Sur,9271261357,M,FILIPINO,FARMER,FARMING,Maria Pajares,,
