RSBSA REFERENCE NUMBER,FIRSTNAME,MIDDLENAME,LASTNAME,EXTENSIONNAME,IDNUMBER,GOVTIDTYPE,STREETNO_PUROKNO,BARANGAY,CITYMUNICIPALITY,DISTRICT,PROVINCE,REGION,BIRTHDATE(YYYY-MM-DD),PLACEOFBIRTH,MOBILENO,SEX,NATIONALITY,PROFESSION,SOURCEOFFUNDS,MOTHERMAIDENNAME,# OF FARM PARCEL,TOTAL FARM AREA (Ha)
88-18-9862-50001,Mary,Deogracias,Lindayag,,CD120001,License,Street Name1,Barangay Name1,Dasmarinas City,District 1,Cavite,Region 1,1996-10-28,San Juan Ilocos Sur,09271297371,Married,FILIPINO,FARMER,FARMING,Dev Joels,5,2
88-18-9862-50002,Juan,Cruz,Tan,Jr,CD120002,License,Street Name2,Barangay Name2,Tagaytay City,District 2,Cavite,Region 2,1992-10-15,San Juan Ilocos Sur,09271292860,Married,FILIPINO,FARMER,FARMING,Mark Lofot,2,12
88-18-9862-50003,Liza,Reyes,Sy,,CD120003,License,Street Name3,Barangay Name3,Dasmarinas City,District 3,Cavite,Region 3,1998-12-15,San Juan Ilocos Sur,09271271190,Married,FILIPINO,FARMER,FARMING,Luke James,3,14
88-18-9862-50004,Angelo,Dela Cruz,Chan,,CD120004,License,Street Name4,Barangay Name4,Tagaytay City,District 4,Cavite,Region 4,1966-10-20,San Juan Ilocos Sur,09271229817,Single,FILIPINO,FARMER,FARMING,,4,19
88-18-9862-50005,Marjorie,Uy,Cruz,,CD120005,License,Street Name5,Barangay Name5,Dasmarinas City,District 5,Cavite,Region 5,1970-12-24,San Juan Ilocos Sur,09271246674,Single,FILIPINO,FARMER,FARMING,,5,16
88-18-9862-50006,Vicente,Basa,Ting JR,III,CD120006,License,Street Name6,Barangay Name6,Alaminos,District 6,Pangasinan,Region 6,1962-12-13,San Juan Ilocos Sur,09271223830,Married,FILIPINO,FARMER,FARMING,,1,
88-18-9862-50007,Susana,Matibag,Ipol,,CD120007,License,Street Name7,Barangay Name7,Angeles City,District 7,Pampanga,Region 7,1982-12-30,San Juan Ilocos Sur,09271297073,Married,FILIPINO,FARMER,FARMING,,3,
88-18-9862-50008,Rossetta,Soriano,Flores,,CD120008,License,Street Name8,Barangay Name8,Antipolo,District 8,Nueva Vizcaya,Region 8,1973-12-28,San Juan Ilocos Sur,09271222834,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50009,Rodolfo,Aldave,Oliva,,CD120009,License,Street Name9,Barangay Name9,Bacolod,District 9,Negros Occidental,Region 9,1975-10-24,San Juan Ilocos Sur,09271268692,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50010,Raulito,Monciller,Espiritu,,CD120010,License,Street Name10,Barangay Name10,Bacoor,District 10,Cavite,Region 10,1988-12-17,San Juan Ilocos Sur,09271222609,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50011,Nenita,Pagtakhan,Reyes,,CD120011,License,Street Name11,Barangay Name11,Bago,District 11,Negros Occidental,Region 11,1981-12-14,San Juan Ilocos Sur,09271230697,Single,FILIPINO,FARMER,FARMING,,,
